               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.03322,            0.011372,          5.6446e-05,             0.80031,             0.73355,             0.76578,             0.42919,            0.046437,            0.007477,          4.2912e-05,            0.003268,            0.003268,            0.003268
                  36,            0.033115,            0.011185,          5.3432e-05,             0.78681,             0.71152,             0.74889,             0.41883,            0.048009,           0.0075204,          4.1521e-05,             0.00307,             0.00307,             0.00307
                  37,            0.032438,            0.011211,          5.0641e-05,             0.78845,             0.72727,             0.76155,              0.4273,            0.046528,             0.00749,          3.9349e-05,            0.002872,            0.002872,            0.002872
                  38,            0.032075,            0.010959,          4.7868e-05,             0.79798,             0.70862,             0.75332,             0.41714,            0.047537,           0.0075214,          3.7243e-05,            0.002674,            0.002674,            0.002674
                  39,            0.031763,            0.010906,          4.6681e-05,             0.77803,             0.70667,             0.73268,             0.41199,            0.048428,           0.0077166,          3.6158e-05,            0.002476,            0.002476,            0.002476
                  40,             0.03107,            0.010774,          4.4168e-05,               0.753,             0.75015,             0.75741,             0.42463,            0.047686,           0.0074555,          3.5797e-05,            0.002278,            0.002278,            0.002278
                  41,            0.031009,            0.010737,          4.2082e-05,             0.79383,             0.74424,             0.76165,             0.42227,            0.047686,           0.0075397,          3.3969e-05,             0.00208,             0.00208,             0.00208
                  42,            0.030105,            0.010505,          3.8855e-05,             0.82337,             0.70788,             0.75681,             0.41951,            0.047599,           0.0076447,           3.307e-05,            0.001882,            0.001882,            0.001882
                  43,            0.029961,            0.010669,          3.8324e-05,             0.78778,             0.72121,              0.7428,             0.41175,            0.048128,           0.0076579,          3.2049e-05,            0.001684,            0.001684,            0.001684
                  44,            0.029637,             0.01024,          3.7295e-05,             0.81098,             0.69697,              0.7511,             0.41971,            0.048201,            0.007663,          2.9741e-05,            0.001486,            0.001486,            0.001486
                  45,            0.029184,            0.010269,          3.4357e-05,             0.79245,             0.74048,             0.75555,             0.42273,            0.048152,           0.0076386,          2.9005e-05,            0.001288,            0.001288,            0.001288
                  46,            0.028956,            0.010188,          3.3425e-05,             0.80387,             0.71636,             0.74747,             0.41912,            0.048385,           0.0076848,           2.907e-05,             0.00109,             0.00109,             0.00109
                  47,            0.028619,            0.010193,          3.2109e-05,             0.81242,             0.71758,             0.74807,             0.42195,             0.04821,           0.0076304,          2.6931e-05,            0.000892,            0.000892,            0.000892
                  48,            0.028562,            0.010092,          3.0669e-05,             0.81697,             0.71958,             0.75386,              0.4249,            0.048125,           0.0077138,          2.6536e-05,            0.000694,            0.000694,            0.000694
                  49,            0.028077,            0.010067,          3.0227e-05,             0.80096,             0.71758,             0.74891,             0.42234,            0.048179,           0.0077635,          2.6144e-05,            0.000496,            0.000496,            0.000496
